compra bgn 99: Compra realizada, stock actualizado.
compra hzigg 114: Compra realizada, stock actualizado.
compra nx 47: Compra realizada, stock actualizado.
compra ayrq 33: Compra realizada, stock actualizado.
compra oopx 47: Compra realizada, stock actualizado.
compra vqiy 196: Compra realizada, stock actualizado.
compra cxfn 191: Compra realizada, stock actualizado.
compra fen 199: Compra realizada, stock actualizado.
compra zdd 53: Compra realizada, stock actualizado.
compra yzy 125: Compra realizada, stock actualizado.
compra soa 51: Compra realizada, stock actualizado.
listado lgp: 
compra uyhgh 196: Compra realizada, stock actualizado.
compra jlxe 105: Compra realizada, stock actualizado.
compra wndnm 54: Compra realizada, stock actualizado.
compra tci 122: Compra realizada, stock actualizado.
compra qrizt 179: Compra realizada, stock actualizado.
compra phia 194: Compra realizada, stock actualizado.
compra qyjv 18: Compra realizada, stock actualizado.
compra uzd 62: Compra realizada, stock actualizado.
compra mgx 3: Compra realizada, stock actualizado.
compra owj 142: Compra realizada, stock actualizado.
listado vd: 
compra gys 117: Compra realizada, stock actualizado.
compra tlae 15: Compra realizada, stock actualizado.
compra tuqv 164: Compra realizada, stock actualizado.
compra yn 146: Compra realizada, stock actualizado.
compra agjd 185: Compra realizada, stock actualizado.
compra jrvor 48: Compra realizada, stock actualizado.
compra su 160: Compra realizada, stock actualizado.
compra wxhu 122: Compra realizada, stock actualizado.
compra tswc 74: Compra realizada, stock actualizado.
compra yruc 29: Compra realizada, stock actualizado.
listado zu: 
compra qp 161: Compra realizada, stock actualizado.
compra dgya 192: Compra realizada, stock actualizado.
compra qou 131: Compra realizada, stock actualizado.
compra ml 80: Compra realizada, stock actualizado.
compra jm 59: Compra realizada, stock actualizado.
compra tlc 91: Compra realizada, stock actualizado.
compra mc 137: Compra realizada, stock actualizado.
compra rtky 126: Compra realizada, stock actualizado.
compra qp 12: Compra realizada, stock actualizado.
compra ffno 191: Compra realizada, stock actualizado.
listado hb: (hbn,37)
compra ou 165: Compra realizada, stock actualizado.
compra cz 14: Compra realizada, stock actualizado.
compra wmle 173: Compra realizada, stock actualizado.
compra kzs 25: Compra realizada, stock actualizado.
compra uogq 133: Compra realizada, stock actualizado.
compra use 67: Compra realizada, stock actualizado.
compra kn 163: Compra realizada, stock actualizado.
compra bjm 45: Compra realizada, stock actualizado.
compra bu 89: Compra realizada, stock actualizado.
compra fayq 68: Compra realizada, stock actualizado.
listado eo: 
compra kqt 9: Compra realizada, stock actualizado.
compra ubbk 142: Compra realizada, stock actualizado.
compra eu 50: Compra realizada, stock actualizado.
compra unr 139: Compra realizada, stock actualizado.
compra rbv 96: Compra realizada, stock actualizado.
compra xwqw 115: Compra realizada, stock actualizado.
compra byo 192: Compra realizada, stock actualizado.
compra on 62: Compra realizada, stock actualizado.
compra zpo 173: Compra realizada, stock actualizado.
compra bu 119: Compra realizada, stock actualizado.
listado dvy: 
compra fxiu 152: Compra realizada, stock actualizado.
compra xyp 101: Compra realizada, stock actualizado.
compra zhxs 12: Compra realizada, stock actualizado.
compra eo 165: Compra realizada, stock actualizado.
compra xy 62: Compra realizada, stock actualizado.
compra tyc 149: Compra realizada, stock actualizado.
compra bccj 75: Compra realizada, stock actualizado.
compra arol 158: Compra realizada, stock actualizado.
compra zjy 134: Compra realizada, stock actualizado.
compra qrz 183: Compra realizada, stock actualizado.
listado tqp: 
compra zgz 112: Compra realizada, stock actualizado.
compra seeu 29: Compra realizada, stock actualizado.
compra pr 189: Compra realizada, stock actualizado.
compra crn 91: Compra realizada, stock actualizado.
compra odud 95: Compra realizada, stock actualizado.
compra nkn 193: Compra realizada, stock actualizado.
compra sb 171: Compra realizada, stock actualizado.
compra yx 62: Compra realizada, stock actualizado.
compra lgj 170: Compra realizada, stock actualizado.
compra seisi 165: Compra realizada, stock actualizado.
listado vnq: 
compra qbg 90: Compra realizada, stock actualizado.
compra po 190: Compra realizada, stock actualizado.
compra crmx 171: Compra realizada, stock actualizado.
compra ua 65: Compra realizada, stock actualizado.
compra oe 126: Compra realizada, stock actualizado.
compra wof 66: Compra realizada, stock actualizado.
compra pj 87: Compra realizada, stock actualizado.
compra do 193: Compra realizada, stock actualizado.
compra bi 197: Compra realizada, stock actualizado.
compra fvrm 137: Compra realizada, stock actualizado.
listado b: (bccj,75) (bgn,99) (bi,197) (bjm,45) (bkvv,155) (bu,208) (byo,192)
compra wmmb 99: Compra realizada, stock actualizado.
compra oot 160: Compra realizada, stock actualizado.
compra hbu 76: Compra realizada, stock actualizado.
compra lxw 15: Compra realizada, stock actualizado.
compra sao 177: Compra realizada, stock actualizado.
compra dk 43: Compra realizada, stock actualizado.
compra xeu 56: Compra realizada, stock actualizado.
compra fit 178: Compra realizada, stock actualizado.
compra sene 154: Compra realizada, stock actualizado.
compra apyx 108: Compra realizada, stock actualizado.
listado p: (phia,194) (pj,87) (po,190) (pr,189)
compra if 89: Compra realizada, stock actualizado.
compra hv 158: Compra realizada, stock actualizado.
compra eitp 125: Compra realizada, stock actualizado.
compra qop 55: Compra realizada, stock actualizado.
compra ao 9: Compra realizada, stock actualizado.
compra zwyu 69: Compra realizada, stock actualizado.
compra fxcd 112: Compra realizada, stock actualizado.
compra rhwxh 23: Compra realizada, stock actualizado.
compra uw 186: Compra realizada, stock actualizado.
compra yqpc 21: Compra realizada, stock actualizado.
listado xh: 
compra sw 25: Compra realizada, stock actualizado.
compra zy 9: Compra realizada, stock actualizado.
compra kp 130: Compra realizada, stock actualizado.
compra rj 105: Compra realizada, stock actualizado.
compra nfpzy 33: Compra realizada, stock actualizado.
compra nh 186: Compra realizada, stock actualizado.
compra jyvo 198: Compra realizada, stock actualizado.
compra ji 41: Compra realizada, stock actualizado.
compra bzcm 154: Compra realizada, stock actualizado.
compra ldl 76: Compra realizada, stock actualizado.
listado r: (rbv,96) (rhwxh,23) (rj,105) (rtky,126)
compra dtbyk 87: Compra realizada, stock actualizado.
compra ryu 43: Compra realizada, stock actualizado.
compra xuxu 156: Compra realizada, stock actualizado.
compra wdk 37: Compra realizada, stock actualizado.
compra vsk 194: Compra realizada, stock actualizado.
compra qywc 132: Compra realizada, stock actualizado.
compra uqyf 192: Compra realizada, stock actualizado.
compra jt 47: Compra realizada, stock actualizado.
compra qot 41: Compra realizada, stock actualizado.
compra cj 80: Compra realizada, stock actualizado.
listado itb: 
compra hmvl 122: Compra realizada, stock actualizado.
compra pig 32: Compra realizada, stock actualizado.
compra wq 99: Compra realizada, stock actualizado.
compra ialf 64: Compra realizada, stock actualizado.
compra cge 86: Compra realizada, stock actualizado.
compra oxcw 89: Compra realizada, stock actualizado.
compra ceih 135: Compra realizada, stock actualizado.
compra vfb 29: Compra realizada, stock actualizado.
compra wt 139: Compra realizada, stock actualizado.
compra jkt 66: Compra realizada, stock actualizado.
listado pv: 
compra bng 82: Compra realizada, stock actualizado.
compra nyr 44: Compra realizada, stock actualizado.
compra hh 109: Compra realizada, stock actualizado.
compra kasl 196: Compra realizada, stock actualizado.
compra jlg 149: Compra realizada, stock actualizado.
compra gf 93: Compra realizada, stock actualizado.
compra od 118: Compra realizada, stock actualizado.
compra oi 140: Compra realizada, stock actualizado.
compra tbn 95: Compra realizada, stock actualizado.
compra jbb 121: Compra realizada, stock actualizado.
listado ri: 
compra hg 175: Compra realizada, stock actualizado.
compra wxne 186: Compra realizada, stock actualizado.
compra fx 1: Compra realizada, stock actualizado.
compra bvqx 83: Compra realizada, stock actualizado.
compra gle 55: Compra realizada, stock actualizado.
compra lvpn 106: Compra realizada, stock actualizado.
compra ujrb 14: Compra realizada, stock actualizado.
compra fzb 102: Compra realizada, stock actualizado.
compra peo 192: Compra realizada, stock actualizado.
compra cedrn 95: Compra realizada, stock actualizado.
listado ug: 
compra smsoe 150: Compra realizada, stock actualizado.
compra vbzu 25: Compra realizada, stock actualizado.
compra ag 17: Compra realizada, stock actualizado.
compra gefoq 53: Compra realizada, stock actualizado.
compra xg 146: Compra realizada, stock actualizado.
compra pof 78: Compra realizada, stock actualizado.
compra gk 147: Compra realizada, stock actualizado.
compra civm 130: Compra realizada, stock actualizado.
compra hdof 47: Compra realizada, stock actualizado.
compra xve 65: Compra realizada, stock actualizado.
listado nm: 
compra ypp 88: Compra realizada, stock actualizado.
compra tmoc 44: Compra realizada, stock actualizado.
compra prp 67: Compra realizada, stock actualizado.
compra zxcd 136: Compra realizada, stock actualizado.
compra ly 44: Compra realizada, stock actualizado.
compra lo 127: Compra realizada, stock actualizado.
compra vlfi 146: Compra realizada, stock actualizado.
compra si 162: Compra realizada, stock actualizado.
compra qhpr 149: Compra realizada, stock actualizado.
compra fnnz 43: Compra realizada, stock actualizado.
listado wy: 
compra khf 68: Compra realizada, stock actualizado.
compra ny 67: Compra realizada, stock actualizado.
compra cxu 9: Compra realizada, stock actualizado.
compra okx 106: Compra realizada, stock actualizado.
compra uu 22: Compra realizada, stock actualizado.
compra flo 20: Compra realizada, stock actualizado.
compra bn 143: Compra realizada, stock actualizado.
compra jct 187: Compra realizada, stock actualizado.
compra wfbc 115: Compra realizada, stock actualizado.
compra lrtb 199: Compra realizada, stock actualizado.
listado u: (ua,65) (ubbk,142) (uhf,119) (ujrb,14) (unr,139) (uogq,133) (uqyf,192) (use,67) (uu,22) (uw,186) (uyhgh,196) (uzd,62)
compra mh 199: Compra realizada, stock actualizado.
compra abx 141: Compra realizada, stock actualizado.
compra xern 133: Compra realizada, stock actualizado.
compra lwuu 77: Compra realizada, stock actualizado.
compra jv 55: Compra realizada, stock actualizado.
compra yojm 125: Compra realizada, stock actualizado.
compra ly 105: Compra realizada, stock actualizado.
compra itj 183: Compra realizada, stock actualizado.
compra qd 32: Compra realizada, stock actualizado.
compra zpe 118: Compra realizada, stock actualizado.
listado xzo: 
compra uoh 199: Compra realizada, stock actualizado.
compra diz 46: Compra realizada, stock actualizado.
compra recyx 80: Compra realizada, stock actualizado.
compra trg 153: Compra realizada, stock actualizado.
compra sjh 43: Compra realizada, stock actualizado.
compra imqu 166: Compra realizada, stock actualizado.
compra jfh 120: Compra realizada, stock actualizado.
compra mw 15: Compra realizada, stock actualizado.
compra ih 47: Compra realizada, stock actualizado.
compra ainbe 141: Compra realizada, stock actualizado.
listado f: (fayq,68) (fcg,95) (fen,199) (ffno,191) (fit,178) (flo,20) (fnnz,43) (fpjx,137) (fpoi,48) (fviiw,22) (fvrm,137) (fx,1) (fxcd,112) (fxiu,152) (fzb,102)
compra fo 131: Compra realizada, stock actualizado.
compra fmhpa 100: Compra realizada, stock actualizado.
compra cvl 198: Compra realizada, stock actualizado.
compra rvdt 123: Compra realizada, stock actualizado.
compra pes 34: Compra realizada, stock actualizado.
compra udh 142: Compra realizada, stock actualizado.
compra jok 18: Compra realizada, stock actualizado.
compra vhm 129: Compra realizada, stock actualizado.
compra cmac 172: Compra realizada, stock actualizado.
compra pss 135: Compra realizada, stock actualizado.
listado ngq: 
compra wq 15: Compra realizada, stock actualizado.
compra gkfol 129: Compra realizada, stock actualizado.
compra lg 184: Compra realizada, stock actualizado.
compra sa 108: Compra realizada, stock actualizado.
compra dllrr 68: Compra realizada, stock actualizado.
compra wfb 144: Compra realizada, stock actualizado.
compra yhs 6: Compra realizada, stock actualizado.
compra gl 185: Compra realizada, stock actualizado.
compra smmym 68: Compra realizada, stock actualizado.
compra vj 60: Compra realizada, stock actualizado.
listado gl: (gl,185) (gle,55)
compra zhff 115: Compra realizada, stock actualizado.
compra duh 98: Compra realizada, stock actualizado.
compra aoz 149: Compra realizada, stock actualizado.
compra bpj 154: Compra realizada, stock actualizado.
compra yhjj 117: Compra realizada, stock actualizado.
compra mgs 29: Compra realizada, stock actualizado.
compra rdv 124: Compra realizada, stock actualizado.
compra nmvs 59: Compra realizada, stock actualizado.
compra nu 146: Compra realizada, stock actualizado.
compra gggn 150: Compra realizada, stock actualizado.
listado wpw: 
compra lzlf 111: Compra realizada, stock actualizado.
compra cp 157: Compra realizada, stock actualizado.
compra xye 180: Compra realizada, stock actualizado.
compra ednx 2: Compra realizada, stock actualizado.
compra pha 77: Compra realizada, stock actualizado.
compra kus 179: Compra realizada, stock actualizado.
compra ib 65: Compra realizada, stock actualizado.
compra dzv 197: Compra realizada, stock actualizado.
compra bcs 41: Compra realizada, stock actualizado.
compra sgic 169: Compra realizada, stock actualizado.
listado e: (ednx,2) (eitp,125) (ekx,66) (eo,165) (eu,50) (ev,119)
compra qbxf 73: Compra realizada, stock actualizado.
compra gymh 86: Compra realizada, stock actualizado.
compra ll 72: Compra realizada, stock actualizado.
compra cye 150: Compra realizada, stock actualizado.
compra ak 22: Compra realizada, stock actualizado.
compra qfzh 71: Compra realizada, stock actualizado.
compra drte 119: Compra realizada, stock actualizado.
compra ngfd 111: Compra realizada, stock actualizado.
compra kjc 12: Compra realizada, stock actualizado.
compra pfpt 191: Compra realizada, stock actualizado.
listado npu: 
compra cjqx 171: Compra realizada, stock actualizado.
compra ogbh 52: Compra realizada, stock actualizado.
compra mjmk 103: Compra realizada, stock actualizado.
compra jal 67: Compra realizada, stock actualizado.
compra qjg 181: Compra realizada, stock actualizado.
compra iuqh 162: Compra realizada, stock actualizado.
compra pmk 39: Compra realizada, stock actualizado.
compra cdaw 12: Compra realizada, stock actualizado.
compra sji 97: Compra realizada, stock actualizado.
compra ixcz 25: Compra realizada, stock actualizado.
listado ck: 
compra wu 103: Compra realizada, stock actualizado.
compra lxk 109: Compra realizada, stock actualizado.
compra ojja 151: Compra realizada, stock actualizado.
compra qne 160: Compra realizada, stock actualizado.
compra nwngv 105: Compra realizada, stock actualizado.
compra nmxwp 162: Compra realizada, stock actualizado.
compra gok 25: Compra realizada, stock actualizado.
compra gui 164: Compra realizada, stock actualizado.
compra ybz 188: Compra realizada, stock actualizado.
compra bad 9: Compra realizada, stock actualizado.
listado j: (jal,67) (jbb,121) (jbtb,123) (jct,187) (jfh,120) (ji,41) (jkt,66) (jlg,149) (jlxe,105) (jm,59) (jok,18) (jp,152) (jrvor,48) (jt,47) (jv,55) (jymk,0) (jyvo,198)
compra mgy 78: Compra realizada, stock actualizado.
compra vgcg 194: Compra realizada, stock actualizado.
compra dvv 152: Compra realizada, stock actualizado.
compra ifax 151: Compra realizada, stock actualizado.
compra urf 3: Compra realizada, stock actualizado.
compra rp 91: Compra realizada, stock actualizado.
compra noty 5: Compra realizada, stock actualizado.
compra hdz 79: Compra realizada, stock actualizado.
compra xhi 152: Compra realizada, stock actualizado.
compra si 167: Compra realizada, stock actualizado.
listado id: (idnz,96)
compra gis 49: Compra realizada, stock actualizado.
compra ocm 167: Compra realizada, stock actualizado.
compra wph 198: Compra realizada, stock actualizado.
compra alu 107: Compra realizada, stock actualizado.
compra wqm 148: Compra realizada, stock actualizado.
compra pfv 91: Compra realizada, stock actualizado.
compra cc 63: Compra realizada, stock actualizado.
compra xhu 114: Compra realizada, stock actualizado.
compra qz 32: Compra realizada, stock actualizado.
compra iu 171: Compra realizada, stock actualizado.
listado ud: (udh,142)
compra lyhf 140: Compra realizada, stock actualizado.
compra eqb 29: Compra realizada, stock actualizado.
compra xi 174: Compra realizada, stock actualizado.
compra jsrav 118: Compra realizada, stock actualizado.
compra lhr 123: Compra realizada, stock actualizado.
compra lmww 138: Compra realizada, stock actualizado.
compra xvvih 180: Compra realizada, stock actualizado.
compra emn 164: Compra realizada, stock actualizado.
compra ecnn 43: Compra realizada, stock actualizado.
compra ubbs 189: Compra realizada, stock actualizado.
listado z: (zdd,53) (zgz,112) (zhff,115) (zhxs,12) (zjy,134) (zpbl,147) (zpe,118) (zpo,173) (zwyu,69) (zxcd,136) (zy,9)
compra dqxp 0: Compra realizada, stock actualizado.
compra ew 178: Compra realizada, stock actualizado.
compra kjt 149: Compra realizada, stock actualizado.
compra avz 63: Compra realizada, stock actualizado.
compra pej 143: Compra realizada, stock actualizado.
compra xs 115: Compra realizada, stock actualizado.
compra nbjae 191: Compra realizada, stock actualizado.
compra ta 55: Compra realizada, stock actualizado.
compra bnceu 143: Compra realizada, stock actualizado.
compra yh 40: Compra realizada, stock actualizado.
listado b: (bad,9) (bccj,75) (bcs,41) (bgn,99) (bi,197) (bjm,45) (bkvv,155) (bn,143) (bnceu,143) (bng,82) (bpj,154) (bu,208) (bvqx,83) (byo,192) (bzcm,154)
compra zr 89: Compra realizada, stock actualizado.
compra wwh 30: Compra realizada, stock actualizado.
compra dre 13: Compra realizada, stock actualizado.
compra fz 143: Compra realizada, stock actualizado.
compra eep 3: Compra realizada, stock actualizado.
compra bjb 51: Compra realizada, stock actualizado.
compra sojy 73: Compra realizada, stock actualizado.
compra fw 94: Compra realizada, stock actualizado.
compra nre 167: Compra realizada, stock actualizado.
compra nsa 79: Compra realizada, stock actualizado.
listado ur: (urf,3)
compra tauyz 24: Compra realizada, stock actualizado.
compra glanl 136: Compra realizada, stock actualizado.
compra ygh 142: Compra realizada, stock actualizado.
compra nqg 142: Compra realizada, stock actualizado.
compra puh 101: Compra realizada, stock actualizado.
compra rzxr 124: Compra realizada, stock actualizado.
compra tfmx 80: Compra realizada, stock actualizado.
compra sxk 75: Compra realizada, stock actualizado.
compra ge 105: Compra realizada, stock actualizado.
compra kgu 198: Compra realizada, stock actualizado.
listado lh: (lhr,123)
compra pl 73: Compra realizada, stock actualizado.
compra ypsb 108: Compra realizada, stock actualizado.
compra xnp 101: Compra realizada, stock actualizado.
compra gvomj 191: Compra realizada, stock actualizado.
compra jul 42: Compra realizada, stock actualizado.
compra cgw 31: Compra realizada, stock actualizado.
compra qvfe 27: Compra realizada, stock actualizado.
compra pkg 91: Compra realizada, stock actualizado.
compra uqjq 88: Compra realizada, stock actualizado.
compra qlngd 134: Compra realizada, stock actualizado.
listado k: (kasl,196) (kdp,188) (kgu,198) (khf,68) (kjc,12) (kjt,149) (kn,163) (kp,130) (kpp,51) (kqt,9) (kus,179) (kzs,25)
compra boi 39: Compra realizada, stock actualizado.
compra liuj 57: Compra realizada, stock actualizado.
compra ekfh 79: Compra realizada, stock actualizado.
compra xaykw 43: Compra realizada, stock actualizado.
compra hhk 157: Compra realizada, stock actualizado.
compra rxwu 150: Compra realizada, stock actualizado.
compra ck 9: Compra realizada, stock actualizado.
compra tvv 141: Compra realizada, stock actualizado.
compra tgt 176: Compra realizada, stock actualizado.
compra mde 164: Compra realizada, stock actualizado.
listado bkk: 
compra nzx 189: Compra realizada, stock actualizado.
compra awsm 138: Compra realizada, stock actualizado.
compra eni 188: Compra realizada, stock actualizado.
compra yr 175: Compra realizada, stock actualizado.
compra iav 2: Compra realizada, stock actualizado.
compra rzgcf 126: Compra realizada, stock actualizado.
compra gg 124: Compra realizada, stock actualizado.
compra xgyv 93: Compra realizada, stock actualizado.
compra ea 64: Compra realizada, stock actualizado.
compra icw 57: Compra realizada, stock actualizado.
listado do: (do,193)
compra mv 51: Compra realizada, stock actualizado.
compra xqa 118: Compra realizada, stock actualizado.
compra bx 28: Compra realizada, stock actualizado.
compra name 74: Compra realizada, stock actualizado.
compra bv 21: Compra realizada, stock actualizado.
compra wsjyx 105: Compra realizada, stock actualizado.
compra yws 182: Compra realizada, stock actualizado.
compra kd 163: Compra realizada, stock actualizado.
compra npmv 55: Compra realizada, stock actualizado.
compra bt 128: Compra realizada, stock actualizado.
listado jjw: 
compra qe 92: Compra realizada, stock actualizado.
compra tpmm 54: Compra realizada, stock actualizado.
compra jpbda 87: Compra realizada, stock actualizado.
compra vv 124: Compra realizada, stock actualizado.
compra ppcs 82: Compra realizada, stock actualizado.
compra hjrh 84: Compra realizada, stock actualizado.
compra ayb 63: Compra realizada, stock actualizado.
compra yfo 119: Compra realizada, stock actualizado.
compra phb 190: Compra realizada, stock actualizado.
compra urd 35: Compra realizada, stock actualizado.
listado j: (jal,67) (jbb,121) (jbtb,123) (jct,187) (jfh,120) (ji,41) (jkt,66) (jlg,149) (jlxe,105) (jm,59) (jok,18) (jp,152) (jpbda,87) (jrvor,48) (jsrav,118) (jt,47) (jul,42) (jv,55) (jymk,0) (jyvo,198)
compra ogm 163: Compra realizada, stock actualizado.
compra ss 14: Compra realizada, stock actualizado.
compra lnk 155: Compra realizada, stock actualizado.
compra xft 72: Compra realizada, stock actualizado.
compra zzc 170: Compra realizada, stock actualizado.
compra pz 72: Compra realizada, stock actualizado.
compra eci 104: Compra realizada, stock actualizado.
compra ycqg 26: Compra realizada, stock actualizado.
compra nlc 60: Compra realizada, stock actualizado.
compra elg 26: Compra realizada, stock actualizado.
listado bga: 
compra xzj 195: Compra realizada, stock actualizado.
compra yb 48: Compra realizada, stock actualizado.
compra pf 35: Compra realizada, stock actualizado.
compra djx 28: Compra realizada, stock actualizado.
compra tdk 7: Compra realizada, stock actualizado.
compra aywyq 71: Compra realizada, stock actualizado.
compra as 192: Compra realizada, stock actualizado.
compra mhof 120: Compra realizada, stock actualizado.
compra sazq 62: Compra realizada, stock actualizado.
compra dno 175: Compra realizada, stock actualizado.
listado vy: 
compra tm 92: Compra realizada, stock actualizado.
compra dvxs 158: Compra realizada, stock actualizado.
compra iget 169: Compra realizada, stock actualizado.
compra gmhk 142: Compra realizada, stock actualizado.
compra vgh 41: Compra realizada, stock actualizado.
compra qe 183: Compra realizada, stock actualizado.
compra kafn 196: Compra realizada, stock actualizado.
compra nqbx 153: Compra realizada, stock actualizado.
compra dnyo 89: Compra realizada, stock actualizado.
compra aa 108: Compra realizada, stock actualizado.
listado tz: 
compra vha 119: Compra realizada, stock actualizado.
compra hdyco 7: Compra realizada, stock actualizado.
compra mem 55: Compra realizada, stock actualizado.
compra obab 130: Compra realizada, stock actualizado.
compra qlqm 43: Compra realizada, stock actualizado.
compra zkrg 108: Compra realizada, stock actualizado.
compra omb 90: Compra realizada, stock actualizado.
compra fctn 106: Compra realizada, stock actualizado.
compra iw 182: Compra realizada, stock actualizado.
compra fed 80: Compra realizada, stock actualizado.
listado e: (ea,64) (eci,104) (ecnn,43) (ednx,2) (eep,3) (eitp,125) (ekfh,79) (ekx,66) (elg,26) (emn,164) (eni,188) (eo,165) (eqb,29) (eu,50) (ev,119) (ew,178)
compra lc 161: Compra realizada, stock actualizado.
compra jxx 104: Compra realizada, stock actualizado.
compra kua 37: Compra realizada, stock actualizado.
compra wk 132: Compra realizada, stock actualizado.
compra gnkwk 82: Compra realizada, stock actualizado.
compra zgn 180: Compra realizada, stock actualizado.
compra gbh 174: Compra realizada, stock actualizado.
compra fuf 68: Compra realizada, stock actualizado.
compra iu 55: Compra realizada, stock actualizado.
compra irwl 173: Compra realizada, stock actualizado.
listado kv: 
compra ost 60: Compra realizada, stock actualizado.
compra cf 97: Compra realizada, stock actualizado.
compra ylr 159: Compra realizada, stock actualizado.
compra xfd 58: Compra realizada, stock actualizado.
compra ne 48: Compra realizada, stock actualizado.
compra fdw 125: Compra realizada, stock actualizado.
compra pjfz 142: Compra realizada, stock actualizado.
compra vd 96: Compra realizada, stock actualizado.
compra njt 128: Compra realizada, stock actualizado.
compra lr 15: Compra realizada, stock actualizado.
listado i: (ialf,64) (iav,2) (ib,65) (icw,57) (idnz,96) (if,89) (ifax,151) (iget,169) (ih,47) (ihcsw,9) (imqu,166) (irwl,173) (itj,183) (iu,226) (iuqh,162) (iw,182) (ixcz,25)
compra xq 34: Compra realizada, stock actualizado.
compra ds 92: Compra realizada, stock actualizado.
compra eplh 89: Compra realizada, stock actualizado.
compra mv 149: Compra realizada, stock actualizado.
compra bsx 182: Compra realizada, stock actualizado.
compra df 48: Compra realizada, stock actualizado.
compra ppg 156: Compra realizada, stock actualizado.
compra qut 86: Compra realizada, stock actualizado.
compra inc 68: Compra realizada, stock actualizado.
compra tgny 54: Compra realizada, stock actualizado.
listado yb: (yb,48) (ybz,188)
compra rlyey 85: Compra realizada, stock actualizado.
compra bkkf 83: Compra realizada, stock actualizado.
compra vvmm 15: Compra realizada, stock actualizado.
compra wnib 179: Compra realizada, stock actualizado.
compra ndz 15: Compra realizada, stock actualizado.
compra cpyl 15: Compra realizada, stock actualizado.
compra lux 178: Compra realizada, stock actualizado.
compra mcf 185: Compra realizada, stock actualizado.
compra qrvc 75: Compra realizada, stock actualizado.
compra uvw 62: Compra realizada, stock actualizado.
listado jj: 
compra wrqw 67: Compra realizada, stock actualizado.
compra lh 193: Compra realizada, stock actualizado.
compra havz 166: Compra realizada, stock actualizado.
compra szz 153: Compra realizada, stock actualizado.
compra yy 92: Compra realizada, stock actualizado.
compra dxxs 113: Compra realizada, stock actualizado.
compra zem 88: Compra realizada, stock actualizado.
compra na 105: Compra realizada, stock actualizado.
compra byggh 161: Compra realizada, stock actualizado.
compra mvhhs 142: Compra realizada, stock actualizado.
listado hw: 
compra eal 76: Compra realizada, stock actualizado.
compra xxx 162: Compra realizada, stock actualizado.
compra tye 197: Compra realizada, stock actualizado.
compra mp 132: Compra realizada, stock actualizado.
compra bf 194: Compra realizada, stock actualizado.
compra yuwb 17: Compra realizada, stock actualizado.
compra rnwy 54: Compra realizada, stock actualizado.
compra vpe 151: Compra realizada, stock actualizado.
compra wozn 66: Compra realizada, stock actualizado.
compra mhu 152: Compra realizada, stock actualizado.
listado gkd: 
compra izivc 168: Compra realizada, stock actualizado.
compra ox 79: Compra realizada, stock actualizado.
compra tnui 1: Compra realizada, stock actualizado.
compra un 41: Compra realizada, stock actualizado.
compra aald 108: Compra realizada, stock actualizado.
compra iir 190: Compra realizada, stock actualizado.
compra ksaw 112: Compra realizada, stock actualizado.
compra gwgh 93: Compra realizada, stock actualizado.
